,user,text,favorite_count,retweet_count,created_at
45,elonmusk,@mysteriouskat @DavidSacks There definitely need to be more reactions,7079,310,2022-12-23 09:06:04+00:00
46,elonmusk,@DavidSacks Likes should be private by default,17036,634,2022-12-23 09:01:39+00:00
47,elonmusk,Tweet impression count should,119957,16837,2022-12-23 09:00:12+00:00
48,elonmusk,"@ClayTravis @nytimes @Twitter NY Times is simply outputting short summaries of articles, which then hit a paywall for non-subscribers. 

They would have far more views if they interacted with readers on Twitter and allowed at least the first few paragraphs to be read by non-subscribers.",38833,2109,2022-12-23 04:57:25+00:00
49,elonmusk,@CollinRugg Which accounts?,66531,3030,2022-12-23 04:44:52+00:00
50,elonmusk,@danilo_io yeah,5012,200,2022-12-23 02:06:22+00:00
51,elonmusk,@irredenta @Fidias0 Good point,6420,167,2022-12-23 02:05:45+00:00
52,elonmusk,Tweets are read ~100 times more than they are liked,529939,29856,2022-12-23 02:00:34+00:00
53,elonmusk,@Fidias0 Will do it,68319,1807,2022-12-23 01:58:02+00:00
54,elonmusk,@kcoleman @CommunityNotes Great!,8657,355,2022-12-22 21:20:14+00:00
55,elonmusk,@JackPosobiec @alx Looking into it. That tweet doesn’t violate ToS.,106661,7292,2022-12-22 21:15:13+00:00
56,elonmusk,Congratulations Tesla Team!! https://t.co/GMYMtT2SMC,164358,10626,2022-12-22 18:37:21+00:00
57,elonmusk,Meant to say impressions,67047,3002,2022-12-22 18:34:12+00:00
58,elonmusk,"@WallStreetSilv Everyone, just like video view count",8315,507,2022-12-22 16:54:24+00:00
59,elonmusk,"@JimboAlogo Yeah, it’s ridiculous",5846,421,2022-12-22 16:51:54+00:00
60,elonmusk,@MrBeast It’s not out of the question,432398,9446,2022-12-22 16:50:28+00:00
61,elonmusk,"@SenatorTester @SenatorSinema But shouldn’t there be some funding in this bill to secure US borders, given that we are spending tens of billions to secure the borders of other countries?",36299,7685,2022-12-22 16:44:55+00:00
62,elonmusk,@ggreenwald Exactly,12772,711,2022-12-22 16:31:41+00:00
63,elonmusk,@CramerTracker We shall see …,21819,802,2022-12-22 16:28:34+00:00
64,elonmusk,@Plinz 🧐,13509,581,2022-12-22 16:26:42+00:00
65,elonmusk,"Is this true, @SenatorSinema and @SenatorTester? https://t.co/QF4kn4RkgH",62391,12752,2022-12-22 16:24:00+00:00
66,elonmusk,"Twitter is rolling out View Count, so you can see how many times a tweet has been seen! This is normal for video.

Shows how much more alive Twitter is than it may seem, as over 90% of Twitter users read, but don’t tweet, reply or like, as those are public actions.",389897,33041,2022-12-22 16:05:54+00:00
67,elonmusk,"@iheartmindy What utter insanity that tens of billions are being spent for border security of other countries, but none for ours!!",63166,15030,2022-12-22 15:59:49+00:00
68,elonmusk,"@GRDecter @kimbal At the risk of being repetitive, these Fed rate increases might go down in history as most damaging ever",71510,6929,2022-12-22 15:55:18+00:00
69,elonmusk,@tunguz He’s great,262497,5943,2022-12-22 10:18:29+00:00
70,elonmusk,@teslaownersSV Should we keep it going?,16900,832,2022-12-22 10:09:49+00:00
71,elonmusk,"One of many product improvements coming to financial Twitter! 

Nice work by Twitter team. https://t.co/CKLH8OtDDW",120161,9662,2022-12-22 01:32:28+00:00
72,elonmusk,".@SenSchumer &amp; @LeaderMcConnell, the public has spoken. 

They are overwhelmingly against this giant spending bill. https://t.co/2XTdPT9lQB",161361,29780,2022-12-22 01:27:14+00:00
73,elonmusk,@WallStreetSilv I sure hope so!,18505,799,2022-12-22 01:19:05+00:00
74,elonmusk,@WallStreetSilv This philosophy is the death of humanity,55726,7940,2022-12-21 23:57:54+00:00
75,elonmusk,Sustainable cars powered by sustainable energy https://t.co/osKPYaspTf,150717,11532,2022-12-21 23:50:51+00:00
76,elonmusk,@Lukewearechange Concerning …,39129,2260,2022-12-21 23:48:55+00:00
77,elonmusk,@ByronYork @AP !,40544,2355,2022-12-21 19:17:26+00:00
78,elonmusk,@RepDanBishop Worth reading,27859,1876,2022-12-21 15:51:42+00:00
79,elonmusk,@ggreenwald @RandPaul No oversight!? That sounds as fishy as the random $60M allocation in this bill for Salmon.,29492,3930,2022-12-21 15:50:45+00:00
80,elonmusk,@Rainmaker1973 Hope all goes well,13885,489,2022-12-21 10:42:26+00:00
81,elonmusk,@Rainmaker1973 A masterpiece from the future,7595,375,2022-12-21 10:05:32+00:00
82,elonmusk,@ashleevance @realGeorgeHotz We were on a Hotz streak! 🥁,9443,410,2022-12-21 10:00:54+00:00
83,elonmusk,"@28delayslater Maybe so, in which case … buying opportunity!

I keep saying that Fed rate is insane, because data I’m seeing says we’re already in deflation. 

If true, then real rate of return of T-bills is roughly that of S&amp;P500.

Very smart investor I spoke to today said he’s shorting S&amp;P…",19361,1780,2022-12-21 09:54:10+00:00
84,elonmusk,@Rainmaker1973 Saturn V was an incredible machine,28070,1074,2022-12-21 09:43:18+00:00
85,elonmusk,"@PPathole The kids I talked to just had one request, which was to hug this guy who keeps trying to hug me in SF. I checked to see if they were sure about that and they were, so I will.",35891,1707,2022-12-21 09:39:09+00:00
86,elonmusk,"@Rainmaker1973 A nice trick question is what color is the sun?

It appears white in space, but, as measured by peak photon count, it is green.",49603,3549,2022-12-21 08:19:15+00:00
87,elonmusk,@SamTwits They saw this coming in the 70’s!,34395,1788,2022-12-21 08:12:38+00:00
88,elonmusk,@ashleevance Good thread,4902,234,2022-12-21 06:56:14+00:00
89,elonmusk,@Chad_Hurley 🔥🔥,7547,265,2022-12-21 06:44:06+00:00
90,elonmusk,@RepDanBishop Wow,5134,395,2022-12-21 05:29:08+00:00
91,elonmusk,"@meetptlx @StephenKing For a moment there, I almost considered not giving him 5 stars!",5849,276,2022-12-21 04:22:07+00:00
92,elonmusk,"I’m in favor of a small spending bill to keep things running, but common sense suggests that it be the least amount required through the holidays. 

Railroading through a giant spending bill that almost no one has read is unlikely to be in the best interests of the people.",202568,26144,2022-12-21 03:59:09+00:00
93,elonmusk,@teslaownersSV @heydave7 😀,11221,348,2022-12-21 03:45:38+00:00
94,elonmusk,@heydave7 :(,39527,943,2022-12-21 03:32:20+00:00
95,elonmusk,@Arianespace Sorry to hear this. It is a sobering reminder of the difficulty of orbital space flight.,9363,374,2022-12-21 03:18:34+00:00
96,elonmusk,@RichardGarriott @jdriscoll There are no angels in war,5807,500,2022-12-21 02:03:20+00:00
97,elonmusk,@StephenKing Shawshank Redemption 👀,10157,435,2022-12-21 01:33:37+00:00
98,elonmusk,@RepDanBishop Very informative thread,28826,2346,2022-12-21 01:30:21+00:00
99,elonmusk,@28delayslater 🤔,4432,194,2022-12-21 01:28:24+00:00
100,elonmusk,@micsolana 🔥🔥 💰 💰🔥🔥,10038,539,2022-12-21 01:22:22+00:00
101,elonmusk,"I will resign as CEO as soon as I find someone foolish enough to take the job! After that, I will just run the software &amp; servers teams.",341779,30833,2022-12-21 01:20:58+00:00
102,elonmusk,@kcoleman Great!,2157,88,2022-12-21 01:18:24+00:00
103,elonmusk,"Whether for or against, please let your elected representatives know what you think about this $1.7 trillion spending bill that they’re trying to pass!",344896,40989,2022-12-21 01:09:30+00:00
104,elonmusk,@Jules31415 !!,4570,376,2022-12-21 01:06:11+00:00
105,elonmusk,@jus71in And at least one plankton,3281,162,2022-12-21 01:05:23+00:00
106,elonmusk,@jus71in The salmon lobby!,3976,200,2022-12-21 01:04:09+00:00
107,elonmusk,@paulg @Tawhidsquared @lexfridman Accurate assessment!,4452,164,2022-12-21 01:01:07+00:00
108,elonmusk,"@ImMeme0 @hodgetwins Funds for borders of other countries, but not ours? Is that for real?",30336,7046,2022-12-21 00:59:43+00:00
109,elonmusk,@RepDanBishop Does seem high,3475,199,2022-12-21 00:57:24+00:00
110,elonmusk,@RepDanBishop https://t.co/IzMp964Mbp,4015,296,2022-12-21 00:54:15+00:00
111,elonmusk,@neontaster @BridgetPhetasy Caring more about words than actions does not bode well for civilization,8685,980,2022-12-21 00:51:36+00:00
112,elonmusk,@stillgray Looking into it,11435,570,2022-12-21 00:43:20+00:00
113,elonmusk,@BenSwann_ Good question …,40635,1911,2022-12-21 00:38:52+00:00
114,elonmusk,@barrel_bourbon Even the bots agree 🤣🤣,7842,359,2022-12-21 00:37:23+00:00
115,elonmusk,@anothercohen Surprisingly close,9295,261,2022-12-21 00:35:56+00:00
116,elonmusk,@saxena_puru 🎯,6124,257,2022-12-21 00:32:15+00:00
117,elonmusk,@DrJBhattacharya @Brad_Neaton !!,6693,524,2022-12-21 00:22:36+00:00
118,elonmusk,@stillgray Satire and reality have merged!,36715,2204,2022-12-21 00:21:41+00:00
119,elonmusk,@rawsalerts Timing is everything,23688,1814,2022-12-21 00:20:20+00:00
120,elonmusk,"@hodgetwins Guaranteed, not one person voting for it has read the whole thing. If we added that basic requirement, legislation would improve dramatically in favor of the people.",135287,15560,2022-12-21 00:12:45+00:00
121,elonmusk,@pmarca Haha 💯,4780,203,2022-12-20 23:57:58+00:00
122,elonmusk,Should Congress approve the $1.7 trillion omnibus spending bill?,141100,38127,2022-12-20 23:50:05+00:00
123,elonmusk,"@dela3499 @GerberKawasaki Couldn’t agree more! We’re making this change soon. 

Main timeline should allow for an easy sideways swipe between top, latest, trending and topics that you follow. Twitter search nav already sorta does this after you search.",6241,352,2022-12-20 22:34:34+00:00
124,elonmusk,"@GerberKawasaki In simple terms: 

As bank savings account interest rates, which are guaranteed, start to approach stock market returns, which are *not* guaranteed, people will increasingly move their money out of stocks into cash, thus causing stocks to drop.",16471,1364,2022-12-20 20:51:36+00:00
125,elonmusk,@GerberKawasaki Go back and read your old Securities Analysis 101 textbook,17034,866,2022-12-20 20:41:41+00:00
126,elonmusk,@pmarca Interesting,10226,876,2022-12-20 20:39:04+00:00
127,elonmusk,@TheRabbitHole84 @WallStreetSilv Tweets that are interesting or entertaining get traction. That’s why writers tend to do well on Twitter.,14527,818,2022-12-20 20:38:09+00:00
128,elonmusk,@TrungTPhan Wow,36536,1035,2022-12-20 20:31:36+00:00
129,elonmusk,@DrEliDavid !!!,19112,935,2022-12-20 20:30:20+00:00
130,elonmusk,Yikes! https://t.co/Qr0KyPuOYf,126275,28058,2022-12-20 20:27:43+00:00
131,elonmusk,"@GerberKawasaki Please tell us your great ideas, Ross …",97470,2878,2022-12-20 19:19:13+00:00
132,elonmusk,"@WallStreetSilv This has gone too far, to say the least! @Stanford, what is your explanation for this madness?",36017,4874,2022-12-20 19:16:51+00:00
133,elonmusk,@TheRabbitHole84 Absolutely,14042,686,2022-12-20 19:14:53+00:00
134,elonmusk,@KimDotcom Why has the mainstream media refused to report on this?,41260,5586,2022-12-20 19:12:55+00:00
135,elonmusk,@Rainmaker1973 Wow,9697,369,2022-12-20 18:56:09+00:00
136,elonmusk,@Harris_X_ @Twitter Interesting. Suggest that maybe we might still have an itsy bitsy bot problem on Twitter …,10701,1383,2022-12-20 18:11:53+00:00
137,elonmusk,Newspapers just search the Internet and print it out – SJM,235995,20899,2022-12-20 18:00:27+00:00
138,elonmusk,"As (outgoing) Chair of House Intelligence, did you approve hidden state censorship in direct violation of the Constitution of the United States @RepAdamSchiff?",202383,42715,2022-12-20 17:32:35+00:00
139,elonmusk,@SawyerMerritt @davidfaber 🤣🤣,57619,2140,2022-12-20 17:16:13+00:00
140,elonmusk,"@Rainmaker1973 If you know the solution is a whole number, doing mental cube approximations &amp; guessing works great",13112,523,2022-12-20 17:15:24+00:00
141,elonmusk,"Hear, hear!! https://t.co/LbvnmOGAVy",157188,23850,2022-12-20 17:04:48+00:00
142,elonmusk,@BillyM2k Your tax dollars at work …,50042,2876,2022-12-20 17:03:09+00:00
143,elonmusk,@andst7 @Corriere Grazie,32665,1302,2022-12-20 15:44:55+00:00
144,elonmusk,@davenewworld_2 Absolutely,40653,2300,2022-12-20 15:22:47+00:00
145,elonmusk,Government paid Twitter millions of dollars to censor info from the public https://t.co/eSEwcZlGjt,355975,90366,2022-12-20 15:13:45+00:00
146,elonmusk,"Other social media companies too, not just Twitter https://t.co/vH2EnMr9Iw",144376,29078,2022-12-20 15:10:54+00:00
147,elonmusk,@RealSaavedra @LegendaryEnergy @EndWokeness How do you calculate 90%?,8643,479,2022-12-20 06:35:28+00:00
148,elonmusk,@kerrikgray @LegendaryEnergy @EndWokeness True,7197,412,2022-12-20 06:15:15+00:00
149,elonmusk,@farzyness The United States has definitely been harmed by having her as a senator lol,127752,8241,2022-12-20 05:57:21+00:00
150,elonmusk,@LegendaryEnergy @EndWokeness How did it come to be this way?,11571,865,2022-12-20 05:51:48+00:00
151,elonmusk,@ShellenbergerMD Extremely problematic,16719,1591,2022-12-20 05:49:48+00:00
152,elonmusk,@Jason So many publications just sound like WokeGPT these days,31765,1937,2022-12-20 04:06:52+00:00
153,elonmusk,@EndWokeness Why is this never in the news?,129908,10709,2022-12-20 03:58:32+00:00
154,elonmusk,@WallStreetSilv Interesting,140731,4938,2022-12-20 01:43:08+00:00
155,elonmusk,@DrJBhattacharya @Stanford Stanford disapproves of saying you’re proud to be an American? Whoa.,76284,8590,2022-12-20 01:30:49+00:00
156,elonmusk,"@WallStreetSilv Wow, worse than ‘99 …",27183,1670,2022-12-20 01:16:00+00:00
157,elonmusk,@lhamtil Wow,14550,516,2022-12-20 01:07:02+00:00
158,elonmusk,"Stats on Twitter World Cup
https://t.co/y91SB99eKZ",42991,3792,2022-12-20 00:36:52+00:00
159,elonmusk,@TheBabylonBee 🤣🤣,68485,2233,2022-12-20 00:29:49+00:00
160,elonmusk,@Unfilteredboss1 @KimDotcom Good point. Twitter will make that change.,25745,1960,2022-12-19 23:41:35+00:00
161,elonmusk,@KimDotcom Interesting,29497,2077,2022-12-19 23:27:30+00:00
162,elonmusk,@BillFOXLA @FoxNews @RepTonyGonzales Why do so few report about millions of people crossing the border?,187830,26674,2022-12-19 02:06:38+00:00
163,elonmusk,Those who want power are the ones who least deserve it,987750,99031,2022-12-19 01:29:14+00:00
164,elonmusk,@Anna_Giaritelli Yikes!,28196,1557,2022-12-19 01:19:52+00:00
165,elonmusk,@nicob1nbruin @stillgray Really?,5739,255,2022-12-19 01:10:37+00:00
166,elonmusk,Elvis is in the building https://t.co/dppDnK1WBt,125078,17187,2022-12-19 00:23:02+00:00
167,elonmusk,@WallStreetSilv No one wants the job who can actually keep Twitter alive. There is no successor.,51840,4298,2022-12-19 00:04:43+00:00
168,elonmusk,@stillgray True,40617,1367,2022-12-18 23:58:35+00:00
169,elonmusk,@lexfridman You must like pain a lot. One catch: you have to invest your life savings in Twitter and it has been in the fast lane to bankruptcy since May. Still want the job?,116336,4936,2022-12-18 23:54:10+00:00
170,elonmusk,"As the saying goes, be careful what you wish, as you might get it",568823,46861,2022-12-18 23:43:31+00:00
171,elonmusk,"@WholeMarsBlog The question is not finding a CEO, the question is finding a CEO who can keep Twitter alive",179660,9226,2022-12-18 23:34:17+00:00
172,elonmusk,Should I step down as head of Twitter? I will abide by the results of this poll.,616735,262554,2022-12-18 23:20:33+00:00
173,elonmusk,"Going forward, there will be a vote for major policy changes. My apologies. Won’t happen again.",428196,22280,2022-12-18 23:17:27+00:00
174,elonmusk,@BillyM2k Paul’s account will be restored shortly,18356,683,2022-12-18 23:15:42+00:00
175,elonmusk,"@TheQuartering @levie Policy will be adjusted to suspending accounts only when that account’s *primary* purpose is promotion of competitors, which essentially falls under the no spam rule",17599,1771,2022-12-18 23:12:52+00:00
176,elonmusk,"@TheQuartering @levie Ok, that seems reasonable",10964,422,2022-12-18 23:02:34+00:00
177,elonmusk,@levie What do you think should be the policy?,23654,839,2022-12-18 22:29:25+00:00
178,elonmusk,@RobertKennedyJr @hodgetwins Precisely,17371,1770,2022-12-18 22:12:26+00:00
179,elonmusk,"@TrungTPhan @stillgray Casually sharing occasional links is fine, but no more relentless advertising of competitors for free, which is absurd in the extreme",10969,964,2022-12-18 21:42:51+00:00
180,elonmusk,"@stillgray Exactly. Twitter should be easy to use, but no more relentless free advertising of competitors. No traditional publisher allows this and neither will Twitter.",33442,2323,2022-12-18 21:26:21+00:00
181,elonmusk,@jasondebolt Exactly,32699,1214,2022-12-18 20:10:20+00:00
182,elonmusk,"Duel in the Desert.
Couldn’t ask for a better game. Incredible play by 🇦🇷 &amp; 🇫🇷 !!!! https://t.co/XUZxjymAx0",525902,43900,2022-12-18 18:02:47+00:00
183,elonmusk,@lexfridman I agree!,62628,1500,2022-12-18 17:39:48+00:00
184,elonmusk,3 - 3 WOW!!! https://t.co/asxw78EgPn,455130,26863,2022-12-18 17:39:24+00:00
185,elonmusk,"24,400 tweets per second for France’s goal, highest ever for World Cup!",519333,37306,2022-12-18 16:55:22+00:00
186,elonmusk,"Well done France! 🇫🇷🇫🇷🇫🇷
Evenly-matched game!! https://t.co/dH1CPRRno9",149078,8985,2022-12-18 16:54:13+00:00
187,elonmusk,"Super exciting World Cup!
🇦🇷 ahead 2-0 at halftime.
Can 🇫🇷 come back?",355471,15341,2022-12-18 16:05:44+00:00
